#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" name="distribution" x="@birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" id="treeLikelihood.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <siteModel id="SiteModel.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.01773</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-12178.989806828626	-12167.503352223832	-11.486454604794508	-12167.503352223832	3.871959203416018	11.486454604794508	-11.486454604794508	1.0
1000	-5448.292247496548	-5384.76978874325	-63.522458753298004	-5384.76978874325	4.258815632232631	54.55781898231188	-63.522458753298004	1.651921492935675
2000	-3053.1353195094644	-3001.989457755932	-51.145861753532365	-3001.989457755932	4.266277629289325	50.36689330596417	-51.145861753532365	1.2517324798983154
3000	-2284.853609063387	-2249.739374741634	-35.11423432175319	-2249.739374741634	3.972129191395912	37.559342420105935	-35.11423432175319	1.2517324798983154
4000	-1774.6420126038822	-1764.6611801419044	-9.980832461977759	-1764.6611801419044	2.5749838544259145	23.15436979705994	-9.980832461977759	1.8987817577163864
5000	-1686.6027290666086	-1681.5240233886375	-5.078705677971122	-1681.5240233886375	3.2502710197773874	21.183810514417807	-5.078705677971122	2.9252177609288754
6000	-1664.708194588724	-1661.3306148376037	-3.3775797511203205	-1661.3306148376037	3.0251787581150116	20.623713203523238	-3.3775797511203205	2.8993522584376334
7000	-1632.604053196102	-1636.8267602310048	4.222707034902754	-1636.8267602310048	2.749119363526474	18.00233914871327	4.222707034902754	2.8993522584376334
8000	-1620.4173483247191	-1622.5280165167844	2.110668192065244	-1622.5280165167844	2.8345621772808256	18.730791111282194	2.110668192065244	2.8993522584376334
9000	-1616.7884229739866	-1621.9122031788588	5.123780204872251	-1621.9122031788588	2.886909731627294	17.501294749071338	5.123780204872251	2.5948476660801867
10000	-1625.637416263275	-1624.587443064457	-1.0499731988182042	-1624.587443064457	3.564632807612621	19.860136647098223	-1.0499731988182042	2.8117583530209385
11000	-1615.5733253239794	-1619.2504873272349	3.677162003255475	-1619.2504873272349	3.182843728003479	18.17893413657848	3.677162003255475	2.8117583530209385
12000	-1607.4806412599119	-1615.8894171298582	8.408775869946279	-1615.8894171298582	2.753636968759673	16.496138791947544	8.408775869946279	2.8117583530209385
13000	-1620.150256711496	-1619.7012082917106	-0.449048419785381	-1619.7012082917106	3.259743365565757	19.662124630991247	-0.449048419785381	2.727637467080312
14000	-1605.5138293096452	-1616.4999419164392	10.986112606794036	-1616.4999419164392	2.5255102063029895	15.566366882083472	10.986112606794036	2.8006281889332088
15000	-1598.674181177166	-1605.4394146874567	6.765233510290649	-1605.4394146874567	2.912022904456416	16.608581347459126	6.765233510290649	4.0785882666055775
16000	-1592.1334727794178	-1603.439745336948	11.30627255753	-1603.439745336948	2.5108842777808142	15.749641816194531	11.30627255753	3.4234624425061493
17000	-1607.6963625767858	-1608.4313094004049	0.7349468236191505	-1608.4313094004049	3.0486109128057626	19.169680028297137	0.7349468236191505	2.988052657561064
18000	-1598.5463408826158	-1604.784516767371	6.238175884755176	-1604.784516767371	3.1403590054351653	17.323153515019275	6.238175884755176	3.161757305609721
19000	-1591.1608300050495	-1596.6699621076737	5.509132102624111	-1596.6699621076737	2.7971831344786495	17.569239051430774	5.509132102624111	2.957238147894799
